,Assvie,Sexe,Age,Couple,Statmat,Nat,Dip,Occ,Work,Statpro,Herit,Pere,Mere,Gpp,Gpm,Evtgrav,Livep,Eplog,Epsal,Vmob,Livdf,Pel,Cel,Pep,Assdec,Retraite,Capi,Pea,Urbani,Zres,Nbenf,Logt,Terre,Dette,Detlog,Detvo
86,O,H,52,O,mar,fra,bac+5,act,catA,priv,O,N,O,N,N,N,N,N,O,O,N,N,N,N,N,N,N,O,U6,idf,0,prop,O,O,N,N
87,O,F,49,O,mar,nat,bac+5,ina,catA,priv,O,N,O,N,N,N,O,N,N,N,O,N,N,O,N,N,N,N,U6,idf,0,prop,O,O,N,N
88,O,H,48,O,mar,fra,bac+5,act,catA,priv,N,O,O,N,N,N,O,O,N,O,O,O,O,N,N,O,N,O,U6,idf,0,prop,N,O,O,N
89,N,F,34,N,cel,fra,bacg,act,catB,priv,O,O,O,N,N,O,O,O,N,O,O,O,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
90,O,H,29,O,cel,fra,bac+5,act,catA,pub,N,O,O,N,N,O,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,0,prop,N,N,N,N
91,N,H,29,O,cel,fra,bac+5,act,catA,priv,N,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
92,O,H,50,O,mar,etr,bac+5,ina,catA,priv,N,N,O,N,N,O,O,N,O,O,O,N,N,N,O,N,N,O,U6,idf,1,prop,N,N,N,N
93,N,F,47,O,mar,fra,bac+2,act,emp,priv,N,O,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,1,prop,N,N,N,N
94,N,F,26,O,mar,fra,bac+5,act,catA,priv,N,O,O,O,N,O,O,O,O,O,O,O,N,N,N,N,N,O,U6,idf,0,prop,N,O,O,N
95,N,F,83,N,veu,fra,bac+2,ret,emp,pub,N,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
96,O,F,34,N,cel,fra,bac+5,act,catA,priv,N,N,O,N,O,N,O,O,O,O,O,O,O,N,N,O,N,O,U6,idf,0,loc,N,N,N,N
97,O,F,78,N,cel,fra,sans,ret,emp,pub,O,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
98,N,F,38,O,mar,fra,bac+5,act,catA,priv,N,O,O,O,O,N,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
99,N,F,37,N,div,fra,bact,act,emp,priv,N,O,O,N,O,N,O,O,N,O,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
100,N,H,23,O,cel,fra,bac+5,act,Waut,pub,O,O,O,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
101,N,F,23,O,cel,fra,bac+5,ina,,,N,O,O,O,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
102,N,H,59,N,div,etr,bac+5,act,catA,priv,O,N,N,N,N,O,O,N,O,O,O,N,N,N,N,N,N,O,U6,idf,1,prop,N,O,O,N
103,O,F,38,N,cel,fra,bac+5,act,catA,priv,N,O,O,O,O,O,O,O,O,N,O,O,O,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
104,O,H,33,O,cel,fra,bac+5,act,,ind,N,O,O,O,N,N,N,N,O,N,N,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
105,N,F,27,O,cel,fra,bac+2,act,,ind,N,O,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
106,N,H,32,O,cel,fra,bac+5,act,catA,priv,N,O,O,O,N,O,O,N,O,O,O,N,N,N,O,N,N,N,U6,idf,0,prop,N,O,O,N
107,N,F,29,O,cel,fra,bac+5,ina,emp,priv,N,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
108,N,H,57,N,div,fra,tec,act,,ind,O,N,N,N,N,O,N,N,N,N,N,N,N,N,N,O,N,N,U6,idf,1,prop,N,N,N,N
109,N,F,25,N,cel,nat,bac+5,act,catC,priv,N,O,O,N,O,O,O,O,O,N,O,N,O,N,N,N,N,N,U6,idf,0,loc,N,O,N,N
110,N,H,29,O,cel,fra,bac+5,act,catA,priv,N,O,O,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
111,N,F,27,O,cel,fra,bac+5,act,catA,priv,N,O,O,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
112,N,F,53,N,div,fra,sans,ina,emp,priv,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,2,prop,N,N,N,N
113,N,H,55,N,mar,nat,bacg,ina,emp,priv,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,2,loc,N,O,N,N
114,N,F,54,N,div,fra,bac+5,act,,ind,O,O,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
115,N,F,56,N,veu,nat,cep,ina,emp,priv,N,N,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,1,prop,N,N,N,N
116,N,F,85,N,veu,nat,cep,ina,,ind,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,2,prop,N,N,N,N
117,N,H,27,N,cel,fra,,ina,,,N,,,,,,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,2,prop,N,N,N,N
118,O,F,64,N,div,fra,cep,ret,emp,priv,N,N,N,N,N,N,O,N,N,O,O,N,N,N,N,N,N,N,U6,idf,1,loc,N,N,N,N
119,N,F,39,N,cel,etr,bepc,act,emp,priv,N,O,O,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
120,N,F,30,N,cel,fra,bac+5,act,catB,pub,N,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
121,O,F,71,N,veu,fra,cep,ret,Waut,priv,N,N,N,N,N,N,O,O,N,N,O,O,N,O,O,N,N,N,U6,idf,2,loc,N,N,N,N
122,N,H,33,O,mar,etr,tec,ina,,,N,O,O,O,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
123,N,F,28,O,mar,fra,tec,ina,Waut,priv,N,O,O,O,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
124,O,F,27,N,cel,fra,bac+5,act,catA,priv,N,O,O,N,O,N,O,O,O,O,O,N,O,N,N,O,N,O,U6,idf,0,prop,N,O,O,N
125,N,H,67,O,mar,fra,sans,ret,,ind,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,2,loc,N,N,N,N
126,O,F,67,N,cel,fra,bac+5,ret,catA,priv,O,N,N,,,N,O,O,N,N,O,N,O,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
127,N,H,49,O,mar,nat,bac+5,act,catA,priv,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
128,N,F,53,O,mar,fra,bac+5,act,catA,priv,N,N,O,N,N,N,O,N,O,N,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
129,N,F,23,O,cel,fra,bac+5,ina,,,N,O,O,O,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
130,N,H,48,O,mar,etr,bac+5,act,,ind,N,O,O,N,N,N,O,N,N,N,O,N,N,N,N,O,N,N,U6,idf,0,prop,N,N,N,N
131,O,F,40,N,cel,fra,bac+5,act,,ind,O,N,O,N,N,N,O,O,N,O,O,O,N,O,N,N,N,O,U6,idf,0,prop,N,N,N,N
132,N,F,22,N,cel,fra,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
133,O,F,41,O,mar,fra,bac+5,act,catA,pub,O,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
134,N,H,49,O,mar,fra,bac+5,ina,catA,priv,O,N,O,N,N,N,O,O,N,O,O,N,O,N,N,N,N,O,U6,idf,0,prop,N,O,O,N
135,N,F,44,O,mar,fra,bac+5,ina,emp,pub,O,O,O,N,N,N,O,O,N,O,O,N,O,N,N,N,N,O,U6,idf,0,prop,N,O,O,N
136,O,H,46,N,cel,fra,bac+5,act,,ind,N,N,O,N,N,O,O,N,O,N,O,N,N,N,O,O,N,N,U6,idf,2,loc,N,O,N,N
137,O,H,59,O,mar,fra,tec,ret,catA,pub,N,N,N,N,N,O,O,O,O,N,O,O,N,N,N,N,N,N,U6,idf,1,loc,N,N,N,N
138,N,H,47,N,cel,nat,bac+2,act,,ind,O,N,N,N,N,N,O,O,N,O,O,O,O,N,N,N,N,O,U6,idf,0,prop,N,N,N,N
139,N,F,27,N,cel,fra,bac+5,act,catA,pub,N,O,O,O,N,O,O,O,O,O,O,O,N,O,N,O,N,N,U6,idf,0,loc,N,O,N,N
140,N,H,59,O,mar,fra,tec,ret,emp,pub,N,N,O,N,N,N,O,N,N,N,O,N,N,N,O,N,N,N,U6,idf,1,loc,N,O,N,O
141,N,F,56,O,cel,fra,bac+2,ret,catB,pub,N,N,O,N,N,O,O,O,N,N,O,O,N,N,O,N,N,N,U6,idf,1,loc,N,O,N,O
142,N,F,25,N,cel,fra,,ina,emp,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,1,loc,N,O,N,O
143,N,F,28,N,cel,fra,bac+5,act,catA,priv,N,O,O,N,O,O,O,O,N,N,O,O,O,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
144,N,F,27,N,cel,etr,bac+5,act,catC,pub,N,O,O,N,O,N,O,N,N,O,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
145,N,H,37,N,cel,etr,bac+5,ina,,,N,O,O,N,N,O,N,O,N,N,N,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
146,N,H,31,O,cel,fra,bac+2,act,catB,priv,N,O,O,O,O,O,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
147,N,F,29,O,cel,fra,bac+5,act,catC,priv,N,O,O,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
148,N,H,26,N,cel,fra,bac+5,act,catA,priv,N,O,O,N,O,O,O,O,O,N,O,O,O,N,O,N,N,N,U6,idf,0,loc,N,N,N,N
149,N,H,25,N,cel,fra,bac+5,ina,,,O,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
150,N,F,25,N,cel,fra,bacg,act,catB,pub,N,O,O,N,O,O,N,O,N,N,N,O,O,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
151,N,H,33,O,cel,fra,bac+5,act,catA,priv,O,O,O,N,O,N,O,O,O,O,O,O,O,N,N,N,N,O,U6,idf,0,loc,N,O,N,N
152,N,H,54,O,mar,fra,bac+5,act,,ind,O,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,1,loc,N,O,N,N
153,N,F,58,O,mar,nat,bac+5,act,catA,priv,N,N,N,N,N,N,O,N,O,N,O,N,N,N,O,O,N,N,U6,idf,1,loc,N,O,N,N
154,N,H,29,O,cel,fra,bac+2,act,catC,priv,N,O,O,O,O,O,N,N,O,N,N,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
155,N,F,28,O,cel,fra,bac+5,act,catA,priv,N,O,O,O,N,O,N,N,O,O,N,N,N,N,N,N,N,O,U6,idf,0,loc,N,N,N,N
156,N,F,64,N,veu,fra,cep,ina,,ind,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,2,prop,N,N,N,N
157,N,H,56,N,cel,etr,,act,catC,priv,N,N,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,7,loc,N,N,N,N
158,N,H,22,N,cel,etr,,ina,,,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,7,loc,N,N,N,N
159,O,H,48,O,mar,fra,bac+5,act,catA,pub,N,O,O,N,N,O,O,O,N,O,O,N,O,N,N,N,N,O,U6,idf,0,loc,N,O,N,N
160,O,F,46,O,mar,fra,bac+2,act,catB,pub,N,O,O,N,N,O,N,O,N,O,N,O,N,N,N,N,N,O,U6,idf,0,loc,N,O,N,N
161,N,H,75,O,mar,fra,bacg,ret,catA,priv,O,N,N,N,N,O,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,2,prop,O,N,N,N
162,N,F,71,O,mar,fra,tec,ret,emp,priv,O,N,N,N,N,N,O,O,N,O,O,N,O,N,N,N,N,N,U6,idf,2,prop,O,N,N,N
163,O,F,66,N,div,fra,cep,ret,emp,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,O,N,N
164,N,H,44,N,cel,fra,,act,emp,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,O,N,N
